Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
bk-dll,DLL - Delivery Local,Local courier delivery within the metro area.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/DLL.png,Title,Default Title,,,,,145.00,,FALSE,TRUE,,DLL,,,,,,,FALSE,,,,Delivery Local | BioKissed SA,Local courier delivery within the metro area.
bk-dln,DLN - Delivery National,National courier delivery across South Africa.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/DLN.png,Title,Default Title,,,,,249.00,,FALSE,TRUE,,DLN,,,,,,,FALSE,,,,Delivery National | BioKissed SA,National courier delivery across South Africa.
bk-ara10,ARA10 - ARA-290 10mg,A non-erythropoietic EPO derivative studied for activating the innate repair receptor to reduce inflammation and support nerve and tissue repair.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/ARA10.png,Title,Default Title,,,,,745.00,,FALSE,TRUE,,ARA10,,,,,,,FALSE,,,,ARA-290 10mg | BioKissed SA,A non-erythropoietic EPO derivative studied for activating the innate repair receptor to reduce inflammation and support nerve and tissue repair.
bk-dpn,DPN - Disposable Pen,Single-use pen device for convenient reconstitution and measured delivery of research compounds.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/DPN.png,Title,Default Title,,,,,526.00,,FALSE,TRUE,,DPN,,,,,,,FALSE,,,,Disposable Pen | BioKissed SA,Single-use pen device for convenient reconstitution and measured delivery of research compounds.
bk-glu600,GLU600 - Glutathione 600mg,"The body's master antioxidant, studied for its role in cellular detoxification, oxidative-stress defence and skin brightening.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/GLU600.png,Title,Default Title,,,,,675.00,,FALSE,TRUE,,GLU600,,,,,,,FALSE,,,,Glutathione 600mg | BioKissed SA,"The body's master antioxidant, studied for its role in cellular detoxification, oxidative-stress defence and skin brightening."
bk-kpv10,KPV10 - KPV 10mg,A tripeptide fragment of alpha-MSH studied for its anti-inflammatory action in the gut and skin and for supporting tissue healing.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/KPV10.png,Title,Default Title,,,,,675.00,,FALSE,TRUE,,KPV10,,,,,,,FALSE,,,,KPV 10mg | BioKissed SA,A tripeptide fragment of alpha-MSH studied for its anti-inflammatory action in the gut and skin and for supporting tissue healing.
bk-lmb10,LMB10 - Lemon Bottle 10ml,A lipolytic solution studied for localised fat breakdown; a research injectable investigated for body-contouring applications.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/LMB10.png,Title,Default Title,,,,,825.00,,FALSE,TRUE,,LMB10,,,,,,,FALSE,,,,Lemon Bottle 10ml | BioKissed SA,A lipolytic solution studied for localised fat breakdown; a research injectable investigated for body-contouring applications.
bk-mz10,MZ10 - Mazdutide 10mg,"A dual GLP-1 and glucagon receptor agonist studied for appetite regulation, glucose control and increased energy expenditure.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/MZ10.png,Title,Default Title,,,,,1575.00,,FALSE,TRUE,,MZ10,,,,,,,FALSE,,,,Mazdutide 10mg | BioKissed SA,"A dual GLP-1 and glucagon receptor agonist studied for appetite regulation, glucose control and increased energy expenditure."
bk-nad1000,NAD1000 - NAD+ 1000mg,"Acts as a helper molecule in hundreds of metabolic processes, especially mitochondrial energy production; elevated NAD+ is studied for cellular energy and repair pathways central to longevity research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/NAD1000.png,Title,Default Title,,,,,1275.00,,FALSE,TRUE,,NAD1000,,,,,,,FALSE,,,,NAD+ 1000mg | BioKissed SA,"Acts as a helper molecule in hundreds of metabolic processes, especially mitochondrial energy production; elevated NAD+ is studied for cellular energy"
bk-sg10,SG10 - Semaglutide 10mg,"A GLP-1 receptor agonist studied for glucose-dependent insulin secretion, appetite suppression and slowed gastric emptying.",FALSE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SG10.png,Title,Default Title,,,,,,,FALSE,TRUE,,SG10,,,,,,,FALSE,,,,Semaglutide 10mg | BioKissed SA,"A GLP-1 receptor agonist studied for glucose-dependent insulin secretion, appetite suppression and slowed gastric emptying."
bk-sg30,SG30 - Semaglutide 30mg,"A GLP-1 receptor agonist studied for glucose-dependent insulin secretion, appetite suppression and slowed gastric emptying.",FALSE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SG30.png,Title,Default Title,,,,,,,FALSE,TRUE,,SG30,,,,,,,FALSE,,,,Semaglutide 30mg | BioKissed SA,"A GLP-1 receptor agonist studied for glucose-dependent insulin secretion, appetite suppression and slowed gastric emptying."
bk-slu5,SLU5 - SLU-PP-332 5mg,An ERR agonist ('exercise mimetic') studied for its potential to increase energy expenditure and fat oxidation without physical exertion.,FALSE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SLU5.png,Title,Default Title,,,,,,,FALSE,TRUE,,SLU5,,,,,,,FALSE,,,,SLU-PP-332 5mg | BioKissed SA,An ERR agonist ('exercise mimetic') studied for its potential to increase energy expenditure and fat oxidation without physical exertion.
bk-srm10,SRM10 - Sermorelin 10mg,"A growth-hormone-releasing hormone analogue that signals the pituitary to release growth hormone naturally; studied for recovery, body composition and sleep.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SRM10.png,Title,Default Title,,,,,1075.00,,FALSE,TRUE,,SRM10,,,,,,,FALSE,,,,Sermorelin 10mg | BioKissed SA,"A growth-hormone-releasing hormone analogue that signals the pituitary to release growth hormone naturally; studied for recovery, body composition and"
bk-tz15,TZ15 - Tirzepatide 15mg,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TZ15.png,Title,Default Title,,,,,975.00,,FALSE,TRUE,,TZ15,,,,,,,FALSE,,,,Tirzepatide 15mg | BioKissed SA,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways."
bk-tz30,TZ30 - Tirzepatide 30mg,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TZ30.png,Title,Default Title,,,,,1326.00,,FALSE,TRUE,,TZ30,,,,,,,FALSE,,,,Tirzepatide 30mg | BioKissed SA,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways."
bk-tz60,TZ60 - Tirzepatide 60mg,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TZ60.png,Title,Default Title,,,,,1875.00,,FALSE,TRUE,,TZ60,,,,,,,FALSE,,,,Tirzepatide 60mg | BioKissed SA,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways."
